2018.1,2018,1,76,260,2450.19
2018.2,2018,2,45,156,856.24
2018.3,2018,3,153,564,475.14
2018.4,2018,4,134,530,3488.84
2018.5,2018,5,121,465,2737.08
2018.6,2018,6,131,503,4976.52
2018.7,2018,7,142,548,6562.3
2018.8,2018,8,152,606,5308.26
2018.9,2018,9,267,998,8328.1
2018.10,2018,10,158,572,3448.26
2018.11,2018,11,316,1212,9292.13
2018.12,2018,12,277,1077,8983.57
2019.1,2019,1,57,231,1067.74
2019.2,2019,2,64,239,2813.85
2019.3,2019,3,137,512,9727.21
2019.4,2019,4,160,543,4187.5
2019.5,2019,5,146,575,4667.87
2019.6,2019,6,137,482,3324.33
2019.7,2019,7,139,555,3284.88
2019.8,2019,8,158,595,5355.81
2019.9,2019,9,290,1072,8209.16
2019.10,2019,10,165,629,2817.37
2019.11,2019,11,322,1299,12454.92
2019.12,2019,12,313,1188,7997.98
2020.1,2020,1,88,351,2824.82
2020.2,2020,2,82,302,5004.58
2020.3,2020,3,160,567,3605.23
2020.4,2020,4,167,626,2958.73
2020.5,2020,5,222,851,8662.15
2020.6,2020,6,197,738,4744.76
2020.7,2020,7,198,746,4432.88
2020.8,2020,8,176,693,2062.07
2020.9,2020,9,361,1305,9306.5
2020.10,2020,10,194,763,16243.14
2020.11,2020,11,367,1392,4005.08
2020.12,2020,12,348,1391,17855.78
2021.1,2021,1,155,597,7140.44
2021.2,2021,2,106,357,1597.02
2021.3,2021,3,238,885,14751.89
2021.4,2021,4,200,724,933.29
2021.5,2021,5,239,871,6309.91
2021.6,2021,6,241,919,8217.72
2021.7,2021,7,225,838,6952.62
2021.8,2021,8,216,881,9034.63
2021.9,2021,9,455,1652,10985.23
2021.10,2021,10,297,1130,9275.28
2021.11,2021,11,455,1830,9686.84
2021.12,2021,12,416,1553,7535.9
2022.1,2022,1,0,0,4569.69
2022.2,2022,2,0,0,3551.77
2022.3,2022,3,0,0,6713.66